,Latitude,Longitude,CMPLNT_FR_TM,BORO_NM
5101930,40.648265282,-73.955752145,1,BROOKLYN
5103068,40.837321839,-73.9101166,0,BRONX
5107748,40.624236772,-74.080755533,12,STATEN ISLAND
5107854,40.832111106,-73.948294253,8,MANHATTAN
5107855,40.832111106,-73.948294253,8,MANHATTAN
5108627,40.646328278,-73.929804249,12,BROOKLYN
5114269,40.83987167,-73.888139806,20,BRONX
5115641,40.806617895,-73.936765755,18,MANHATTAN
5117003,40.65758692,-73.92905355,15,BROOKLYN
5118455,40.753874924,-73.98482044,2,MANHATTAN
5121311,40.809413199,-73.944367164,18,MANHATTAN
5121901,40.841690923,-73.837040057,19,BRONX
5122650,40.820986429,-73.892228964,20,BRONX
5122770,40.679066318,-73.915067287,18,BROOKLYN
5125199,40.845984791,-73.907462791,20,BRONX
5125524,40.669758106,-73.802651938,12,QUEENS
5125897,40.703807407,-73.952858808,0,BROOKLYN
5128140,40.799086317,-73.947619211,1,MANHATTAN
5130465,40.638689107,-73.916812154,15,BROOKLYN
5133479,40.689141332,-73.820854715,0,QUEENS
5134115,40.626986011,-73.914016783,21,BROOKLYN
5135252,40.837683801,-73.913256606,20,BRONX
5139735,40.667862819,-73.905388469,10,BROOKLYN
5139932,40.69119702,-73.835460637,2,QUEENS
5139969,40.667533427,-73.86424849,0,BROOKLYN
5141731,40.849776217,-73.937527165,23,MANHATTAN
5142052,40.823423869,-73.901583061,14,BRONX
5143102,40.790325047,-73.941710718,20,MANHATTAN
5144185,40.621066254,-74.084955452,21,STATEN ISLAND
5144612,40.874180976,-73.833872447,12,BRONX
5146814,40.743417442,-73.878467752,12,QUEENS
5147333,40.824798921,-73.908175151,23,BRONX
5147427,40.678435246,-73.927430623,20,BROOKLYN
5148736,40.668529332,-73.848497285,18,QUEENS
5151417,40.823876276,-73.891862968,12,BRONX
5160601,40.759150161,-73.960843907,5,MANHATTAN
5162923,40.66357893,-73.896646458,9,BROOKLYN
5167687,40.753532701,-73.994536892,13,MANHATTAN
5171345,40.837129445,-73.867194698,14,BRONX
5172418,40.829952373,-73.930051383,21,BRONX
5174270,40.819320486,-73.915383261,13,BRONX
5175276,40.821455962,-73.866203487,22,BRONX
5175346,40.669372829,-73.920393103,20,BROOKLYN
5178197,40.846278812,-73.89205787,23,BRONX
5178983,40.697233391,-73.78431906,2,QUEENS
5180127,40.6784693,-73.782447304,4,QUEENS
5186465,40.852381909,-73.913515771,19,BRONX
5187612,40.82294535,-73.95198314,21,MANHATTAN
5187695,40.812699137,-73.921619736,1,BRONX
5196175,40.822262072,-73.940537398,16,MANHATTAN
5198523,40.841944334,-73.914248556,23,BRONX
5202015,40.693415665,-73.848069308,0,QUEENS
5204733,40.842803108,-73.897076401,19,BRONX
5206572,40.903468077,-73.844630036,21,BRONX
5207939,40.838778865,-73.864701374,16,BRONX
5208215,40.606351698,-73.941990184,7,BROOKLYN
5210304,40.798285226,-73.962673731,21,MANHATTAN
5211930,40.67278405,-73.866472894,17,BROOKLYN
5212583,40.68773221,-73.937491478,0,BROOKLYN
5214576,40.810524424,-73.938214246,23,MANHATTAN
5215011,40.840783858,-73.936252607,12,MANHATTAN
5215966,40.568827644,-74.121181494,18,STATEN ISLAND
5216406,40.876743654,-73.90622669,4,BRONX
5217080,40.842803108,-73.897076401,19,BRONX
5217461,40.650957959,-73.955865681,9,BROOKLYN
5218319,40.720450333,-73.97491448,17,MANHATTAN
5219954,40.638667594,-74.022463404,9,BROOKLYN
5220664,40.708227855,-73.912862387,23,QUEENS
5221381,40.693140904,-73.945859731,7,BROOKLYN
5222305,40.732876229,-73.860333942,18,QUEENS
5222338,40.657743089,-73.909136741,0,BROOKLYN
5222747,40.672585871,-73.873261458,9,BROOKLYN
5222923,40.662518015,-73.927011804,0,BROOKLYN
5223664,40.641068098,-73.962469806,17,BROOKLYN
5223837,40.820663494,-73.956385411,14,MANHATTAN
5226643,40.693702669,-73.780915483,4,QUEENS
5227745,40.819718657,-73.942389497,13,MANHATTAN
5230583,40.671168243,-73.909688025,15,BROOKLYN
5231699,40.855961786,-73.839795807,20,BRONX
5232209,40.830798914,-73.826948796,11,BRONX
5233064,40.686395734,-73.949095931,22,BROOKLYN
5240999,40.672674098,-73.861689307,23,BROOKLYN
5244882,40.726529377,-73.734864538,23,QUEENS
5244910,40.675309538,-73.788052771,22,QUEENS
5249060,40.653674996,-73.96278707,19,BROOKLYN
5250320,40.673324484,-73.91539184,22,BROOKLYN
5251111,40.719840334,-73.962400198,1,BROOKLYN
5252434,40.663341242,-73.96017925,4,BROOKLYN
5252449,40.663133397,-73.962432161,3,BROOKLYN
5253803,40.640366106,-73.890520884,1,BROOKLYN
5254229,40.70284629,-73.812428901,21,QUEENS
